"id";"usuario_id";"prefijo";"pais";"flag";"descripcion";"llamadas";"segundos";"llamadas_cuenta";"segundos_cuenta";"llamadas_actual";"segundos_actual";"t1";"t2";"t3";"t4";"estado";"accion"
"4736";"3";"31";"NL";"flag-nl";"Actualizado 28/05/2020";"3";"1380";"3";"1380";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4735";"3";"30";"GI";"flag-gi";"Actualizado 28/05/2020";"1";"60";"25";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4734";"3";"27";"ZA";"flag-za";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4733";"3";"20";"EG";"flag-eg";"Actualizado 28/05/2020";"1";"240";"1";"240";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4732";"3";"18";"US";"flag-us";"Actualizado 28/05/2020";"126";"60000";"126";"60000";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4731";"3";"11";"US";"flag-us";"Actualizado 28/05/2020";"126";"60000";"126";"60000";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4730";"3";"10";"US";"flag-us";"Actualizado 28/05/2020";"126";"60000";"126";"60000";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"4729";"3";"7";"KZ";"flag-kz";"Actualizado 28/05/2020";"1";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"5699";"5";"1339";"US";"flag-us";;"25";"5000";"15";"5000";"0";"0";NULL;NULL;NULL;NULL;"A";"N"
"5698";"5";"1337";"US";"flag-us";;"25";"5000";"15";"5000";"0";"0";NULL;NULL;NULL;NULL;"A";"N"
"5701";"5";"1343";"CA";"flag-ca";;"25";"5000";"15";"5000";"0";"0";NULL;NULL;NULL;NULL;"A";"N"
"5487";"5";"20";"EG";;;"25";"3000";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"N"
"5485";"5";"11";"US";"flag-us";;"200";"20000";"200";"20000";"0";"0";NULL;NULL;NULL;NULL;"A";"N"
"5486";"5";"18";"US";"flag-us";;"5";"3600";"3";"3600";"0";"0";NULL;NULL;NULL;NULL;"A";"B"
"5489";"5";"30";"GI";;;"10";"60";"1";"60";"0";"0";NULL;NULL;NULL;NULL;"A";"N"
"5689";"5";"1320";"US";"flag-us";;"25";"5000";"15";"5000";"0";"0";NULL;NULL;NULL;NULL;"A";"N"
"5688";"5";"1319";"US";"flag-us";;"25";"5000";"15";"5000";"0";"0";NULL;NULL;NULL;NULL;"A";"N"
